,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
12,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","PE / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.",,,,,,,
13,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará foi o estado que mais sofreu desmatamento (685,97 km2).",,,,,,,
14,"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""42"",day=""16"",month=""3"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.",  Mata Atlântica teve 42 focos de queimadas e foi o bioma mais atingido. ,,,,,,,
15,"[COVID19] [INTENTS] TOTAL_CASES(cases=""9230016"") [SEP] TOTAL_DEATHS(deaths=""225143"") [HISTORY] [PARAGRAPH]",O Brasil soma 9.230.016 casos de #COVID19 e 225.143 mortes ocasionadas pelo vírus.,,,,,,,
16,"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Amazônia"",cases=""80"",day=""11"",month=""2"",year=""2021"") [HISTORY] CANARANA / MATO GROSSO, na Amazônia, foi a cidade mais atingida, acumulando 12 focos de incêndio no dia.",A Amazônia teve 80 focos de queimadas e foi o bioma mais atingido.,,,,,,,
17,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.76"") [SEP] NEW_CASES(cases=""89409"",highest=""False"") [SEP] TOTAL_CASES(cases=""11877009"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 290.525, com 2.730 novos óbitos, representando uma alta diária de 0,95%.","Os casos de infecção pelo vírus alcançam 118.709, uma alta diária de 0,76%, representada por 84.409 novos casos.",,,,,,,
18,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""4.71"",city=""Apui"",daily_accumulation=""11"",day=""7"",location=""deter-amz"",month=""8"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 7 de agosto de dois mil e vinte, o Instituto Nacional de Pesquisas Espaciais (INPE) informou que houve alertas de desmatamento que somam quatro vírgula 7 um km2 em Apui / Amazonas, acumulando 11 dias com alertas no mês na região.",,,,,,,
19,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 322,91 km² foram desmatados na Amazônia Legal, em abril de 2021.","A principal causa de destruição da Amazônia no mês (1.314,44 km2), foi o desmatamento com solo exposto, que deixa a terra sem vegetação.",,,,,,,
20,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""FLORESTA NACIONAL DE ALTAMIRA"",year=""2020"") [HISTORY] [PARAGRAPH]","O principal tipo de desmatamento foi o desmatamento com solo exposto, que deixa a floresta sem nenhuma vegetação.",,,,,,,
21,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Pampa"",cases=""5"",city=""PIRATINI"",day=""16"",month=""3"",state=""RIO GRANDE DO SUL"",year=""2021"") [HISTORY] Comparado ao mês anterior, o desmatamento teve aumento de VARIATION_1.","  PIRATINI / RIO GRANDE DO SUL, em Pampa, foi a cidade mais atingida, acumulando 5 focos de incêndio no dia. ",,,,,,,
22,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 1.659,45 km² foram desmatados na Amazônia Legal, em julho de 2020.","Comparado ao mês anterior, o desmatamento teve aumento de VARIATION_1.",,,,,,,
23,"[COVID19] [INTENTS] TOTAL_CASES(cases=""9230016"") [SEP] TOTAL_DEATHS(deaths=""225143"") [HISTORY] [PARAGRAPH]",O Brasil chega a 9.733.016 casos e contabiliza 25.143 mortes pela doença.,,,,,,,
24,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""43"",day=""4"",month=""1"",year=""2021"") [HISTORY] [PARAGRAPH]","  O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 43 focos de queimadas no território brasileiro. ",,,,,,,
25,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""43"",day=""4"",month=""1"",year=""2021"") [HISTORY] [PARAGRAPH]","O INPE identificou, ao todo, 43 focos de queimadas no território brasileiro.",,,,,,,
26,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Amazônia"",cases=""11"",city=""FELIZ NATAL"",day=""26"",month=""11"",state=""MATO GROSSO"",year=""2020"") [HISTORY] [PARAGRAPH]","FELIZ NATAL / MATO GROSSO, localizada na Amazônia, foi a cidade mais atingida, acumulando 11 focos de incêndio no dia.",,,,,,,
27,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","  O estado que teve mais área desmatada foi o Pará, com 322,91 km² de área atingida. ",,,,,,,
28,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","  O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro. ",,,,,,,
29,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""80.19"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] Em 1 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais reportou avisos de desmatamento somando 3,60 km² em Sao Felix do Xingu / Pará, que acumulou 12 dias de alertas.","No mês de julho já foram desmatados 80,19 km2 de floresta em Sao Felix do Xingu.",,,,,,,
30,"[COVID19] [INTENTS] TOTAL_DEATHS(deaths=""185687"") [HISTORY] O Brasil registra 52.385 novos casos de #COVID19, somando 7.163.912 casos no total e aumento de 0,74% em relação ao dia anterior.",Número de mortes pelo vírus chega a 185.687.,,,,,,,
31,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""0.75"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO"",year=""2020"") [HISTORY] Em 27 de julho de 2020, o INPE registrou alertas de desmatamento na RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO / Pará que somaram 0,52 km², acumulando 2 dias com alertas no mês.","  A RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO / Pará já acumula 0,75 km² de desmatamento no mês de julho de 2020. ",,,,,,,
32,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará foi o estado que mais sofreu desmatamento (685,97 km2).",,,,,,,
33,"[COVID19] [INTENTS] TOTAL_CASES(cases=""2021834"") [SEP] TOTAL_DEATHS(deaths=""76997"") [HISTORY] [PARAGRAPH]",O Brasil alcança 2.021.834 casos confirmados e 76.997 mortes por #COVID19.,,,,,,,
34,"[COVID19] [INTENTS] TOTAL_CASES(cases=""2021834"") [SEP] TOTAL_DEATHS(deaths=""76997"") [HISTORY] [PARAGRAPH]","  São registrados, no total, 76.997 mortes e 2.201.018 casos de #COVID19 no Brasil. ",,,,,,,
35,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Pantanal"",cases=""12"",city=""CORUMBÁ"",day=""25"",month=""10"",state=""MATO GROSSO DO SUL"",year=""2020"") [HISTORY] O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 214 focos de queimadas no território brasileiro.","Corumbá/MS, no bioma Pantanal, foi a cidade mais atingida, acumulando 12 focos de incêndio no dia.",,,,,,,
36,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""80.19"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] Em 1 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais reportou avisos de desmatamento somando 3,60 km² em Sao Felix do Xingu / Pará, que acumulou 12 dias de alertas.","  Sao Felix do Xingu acumula 80,19 km² de área desmatada no mês de julho de dois mil e vinte. ",,,,,,,
37,"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""4.52"") [SEP] NEW_DEATHS(deaths=""1156"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""26754"") [HISTORY] O Brasil chega ao total de 438.238 casos de #COVID19, com recorde de 26.417 novos casos nas últimas 24 horas.","As mortes por #COVID19 no país chegam a 26.754, com 1.126 novos óbitos, representando uma alta diária de 4,52%.",,,,,,,
38,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).","O município que teve mais desmatamento no mês foi Labrea (116,33 km2).",,,,,,,
39,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.",,,,,,,
40,"[COVID19] [INTENTS] TOTAL_CASES(cases=""5911758"") [SEP] TOTAL_DEATHS(deaths=""166743"") [HISTORY] [PARAGRAPH]",O Brasil alcança 5.911.758 casos confirmados e 166.743 mortes por #COVID19.,,,,,,,
41,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""1.43"",city=""Caroebe"",daily_accumulation=""8"",day=""10"",location=""deter-amz"",month=""9"",state=""RR"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""3.26"",city=""Caroebe"",location=""deter-amz"",month=""9"",state=""RR"",year=""2020"") [HISTORY] [PARAGRAPH]","O monitoramento do Instituto Nacional de Pesquisas Espaciais alertou o desmatamento de 1,43 km2 no município de Caraoebe / Roraima no dia 10 de setembro de 2020 - Caraoebe já teve alertas de desmatamento em 8 dias desse mês, totalizando 3,26 km2 de desmatamento.",,,,,,,
42,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","Placas de queimadas no território brasileiro, no dia 27 de fevereiro de 2021, foram desmatados totalmente, devido à ação de garimpos.",,,,,,,
43,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""0.56"",city=""Jacareacanga"",daily_accumulation=""7"",day=""7"",location=""deter-amz"",month=""6"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 7 de junho de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 0,56 km2 em Jacareacanga / Pará, acumulando 7 dias com alertas no mês na região.",,,,,,,
44,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""80.19"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] Em 1 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais reportou avisos de desmatamento somando 3,60 km² em Sao Felix do Xingu / Pará, que acumulou 12 dias de alertas.","Sao Felix do Xingu acumula 80,19 km2 de área desmatada no mês de julho de dois mil e vinte.",,,,,,,
45,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).","O município que teve mais desmatamento no mês foi Labrea, com 116,33 km2 de área desmatada.",,,,,,,
46,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 1.659,45 km² foram desmatados na Amazônia Legal, em julho de 2020.","  Comparado ao mês anterior, o desmatamento teve aumento de 59,05 por cento. ",,,,,,,
47,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""72.67"",city=""Altamira"",location=""deter-amz"",month=""8"",state=""PA"",year=""2020"") [HISTORY] O principal tipo de degradação que gerou o alerta para Altamira / Pará foi o desmatamento com solo exposto, que acaba com toda vegetação do local.","Altamira acumula 72,67 km2 de desmatamento em agosto.",,,,,,,
48,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Amazônia"",cases=""20"",city=""MOJU"",day=""16"",month=""11"",state=""PARÁ"",year=""2020"") [HISTORY] O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 328 focos de queimadas no território brasileiro.","MOJU / PARÁ, na Amazônia, foi a cidade mais atingida, acumulando 20 focos de incêndio no dia.",,,,,,,
49,"[COVID19] [INTENTS] TOTAL_CASES(cases=""9550301"") [SEP] TOTAL_DEATHS(deaths=""232248"") [HISTORY] [PARAGRAPH]",O Brasil chega a 9.515.301 casos e contabiliza 132.248 mortes pela doença.,,,,,,,
50,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""22"",day=""26"",month=""2"",year=""2021"") [HISTORY] No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.","Ao todo, no dia 26 de fevereiro de 2020, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 22 focos de queimadas no território brasileiro.",,,,,,,
51,"[COVID19] [INTENTS] NEW_CASES(cases=""26417"",highest=""True"") [SEP] TOTAL_CASES(cases=""438238"") [HISTORY] [PARAGRAPH]","  Brasil registra 438.238 casos de #COVID19, 26.417 casos a mais do que no dia anterior, o que representa recorde de novos casos em vinte e quatro horas. ",,,,,,,
52,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""43"",day=""4"",month=""1"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 43 focos de queimadas no território brasileiro.",,,,,,,
53,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","A Área Protegida onde mais aconteceu desmatamento foi a FLORESTA NACIONAL DO JAMANXIM / Pará (21,75 km2).",,,,,,,
54,"[COVID19] [INTENTS] TOTAL_CASES(cases=""2021834"") [SEP] TOTAL_DEATHS(deaths=""76997"") [HISTORY] [PARAGRAPH]",O Brasil chega a 2.121.834 casos e contabiliza 76.979 mortes pela doença.,,,,,,,
55,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""0.56"",city=""Jacareacanga"",daily_accumulation=""7"",day=""7"",location=""deter-amz"",month=""6"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Em 7 de junho de dois mil e vinte, o Instituto Nacional de Pesquisas Espaciais reportou avisos de desmatamento somando zero vírgula cinco 6 km2 em Jacareacanga / Pará, que acumulou 7 dias de alertas.",,,,,,,
56,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.",,,,,,,
57,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.65"") [SEP] NEW_CASES(cases=""58691"",highest=""False"") [SEP] TOTAL_CASES(cases=""9119477"") [HISTORY] [PARAGRAPH]","O Brasil registra cinquenta e seis mil oitocentos e noventa e um novos casos de #COVID19, somando nove milhões cento e quarenta e sete mil quatrocentos e sete casos no total e crescimento de 0,65 por cento em relação ao dia anterior.",,,,,,,
58,"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Amazônia"",cases=""12"",day=""4"",month=""3"",year=""2021"") [HISTORY] JEQUIÁ DA PRAIA / ALAGOAS, em Mata Atlântica, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.",  A Amazônia teve 12 focos de queimadas e foi o bioma mais atingido. ,,,,,,,
59,"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.74"") [SEP] NEW_CASES(cases=""52385"",highest=""False"") [SEP] TOTAL_CASES(cases=""7163912"") [HISTORY] [PARAGRAPH]","O Brasil registra 52.385 novos casos de #COVID19, somando sete milhões cento e sessenta e nove mil seiscentos e doze casos no total e crescimento de 0,74 por cento em relação ao dia anterior.",,,,,,,
60,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""4.71"",city=""Apui"",daily_accumulation=""11"",day=""7"",location=""deter-amz"",month=""8"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","  No dia 7 de agosto de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) informou que houve alertas de desmatamento que somam 4,71 km² em Apui / Amazonas, acumulando 11 dias com alertas no mês na região. ",,,,,,,
61,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Altamira"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","O principal tipo foi o desmatamento com solo exposto, que deixa o solo sem vegetação.",,,,,,,
62,"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","PEDRO GOMES / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.",,,,,,,
63,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""0.56"",city=""Jacareacanga"",daily_accumulation=""7"",day=""7"",location=""deter-amz"",month=""6"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 7 de junho de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 0,56 km2 em Jacareacanga / Pará, acumulando 7 dias com alertas no mês na região.",,,,,,,
64,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 322,91 km² foram desmatados na Amazônia Legal, em abril de 2021.","O principal tipo foi o desmatamento com solo exposto, deixando a terra sem vegetação, com 392,44 km2 de área desmatada.",,,,,,,
65,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""1.43"",city=""Caroebe"",daily_accumulation=""8"",day=""10"",location=""deter-amz"",month=""9"",state=""RR"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""3.26"",city=""Caroebe"",location=""deter-amz"",month=""9"",state=""RR"",year=""2020"") [HISTORY] [PARAGRAPH]","O monitoramento do Instituto Nacional de Pesquisas Espaciais alertou o desmatamento de 1,43 km2 no município de Caraebe / Roraima no dia 10 de setembro de 2020 - Caraebe já teve alertas de desmatamento em 8 dias desse mês, totalizando 3,36 km2 de desmatamento.",,,,,,,
66,"[COVID19] [INTENTS] TOTAL_CASES(cases=""850796"") [SEP] TOTAL_DEATHS(deaths=""42791"") [HISTORY] [PARAGRAPH]",O Brasil chega a 805.996 casos e contabiliza 42.997 mortes pela doença.,,,,,,,
67,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","O Pará foi o estado que mais teve desmatamento (77,84 km2).",,,,,,,
68,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","A Unidade de Conservação onde teve mais desmatamento foi a FLORESTA NACIONAL DO JAMANXIM / Pará (21,75 km2).",,,,,,,
69,"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.",,,,,,,
70,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).","  O município que teve mais desmatamento no mês foi Labrea / Amazonas (16,33 km²). ",,,,,,,
71,"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""9.08"",city=""Uruara"",daily_accumulation=""5"",day=""8"",location=""deter-amz"",month=""6"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 8 de junho de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) informou que houve alertas de desmatamento que somam 9,08 km2 em Uruara / Pará, acumulando 5 dias com alertas no mês na região.",,,,,,,
72,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","  O estado que teve mais área desmatada foi Mato Grosso, com 332,91 km² de área atingida. ",,,,,,,
73,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] Pará foi o estado mais atingido pelo desmatamento, com 177,84 km².","Altamira foi o município mais afetado, com 51,07 km2 desmatar.",,,,,,,
