MR,Reference,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem,DÚVIDAS/obs
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",The Strada is a coffee shop near All Bar One that has a customer rating of 1 out of 5.,Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The customer rating is bad at the children friendly restaurant called The Cricketers near Avalon.,The Cricketers is a children friendly restaurant near Avalon with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub that serves English food. It is located near Rainbow Vegetarian Café is the city centre area. It is also a pub. It is not family-friendly.,There is a pub called Blue Spice located in the city centre near Rainbow Vegetarian Café. It is not family - friendly and it serves English food.,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]",The Strada is a pub near All Bar One that has a customer rating of 1 out of 5.,Strada is a pub near All Bar One with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid-friendly restaurant with a customer rating of 3 out of 5. It is located near Avalon.,The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]",A children friendly coffee shop near Café Sicilia with an average customer rating is named The Cricketers.,The Cricketers is a coffee shop near Café Sicilia. It is family friendly and has an average customer rating.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], near[The Bakers]",A pub named Giraffe is near The Bakers.,A pub named Giraffe is near The Bakers.,n,n,n,n,n,n,n,
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]","Cocum, a pub with a low customer rating, is near Café Sicilia.",Cocum is a pub near Café Sicilia with a low customer rating.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Wrestlers serves Japanese food, and is situated near Raja Indian Cuisine, in the riverside area. It is a kid friendly pub with a price range of £20 - £25.",The Wrestlers is a pub that serves Japanese food in the riverside area near Raja Indian Cuisine. It is kid friendly and has a price range of £20-25.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]",The Cricketers is a one star coffee shop near the Ranch. It is not family friendly.,The Cricketers is a coffee shop located near Ranch. It has a low customer rating and is not family-friendly.,n,n,n,n,n,n,n,
"name[Zizzi], eatType[pub], customer rating[average], near[Burger King]","Close by Burger King, is Zizzi. An average rated pub.",Zizzi is a pub near Burger King with an average customer rating.,n,n,n,n,n,n,n,
"name[The Waterman], eatType[restaurant], food[Indian], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a kid friendly restaurant in the riverside area near Raja Indian Cuisine. They offer Indian food at a moderate price range.,The Waterman is a moderately priced Indian restaurant in the riverside area near Raja Indian Cuisine. It is kid friendly.,n,n,n,n,n,n,n,
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]","Cocum, a pub with a low customer rating, is near Café Sicilia.","Cocum, a pub with a low customer rating, is near Café Sicilia.",n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant that isn't family-friendly, serves Japanese food near to the Express by Holiday Inn in the City centre",Green Man is a Japanese restaurant located in the city centre near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]",A kid friendly restaurant is located near Express by Holiday Inn. It's called The Cricketers and is highly rated.,The Cricketers is a child friendly restaurant near Express by Holiday Inn. It has a high customer rating.,n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.,The Green Man is a family friendly Italian restaurant in the riverside area near the Express by Holiday Inn.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]","The Cricketers restaurant Chinese food is moderately price, but customer ratings show 1 out of 5, located in city centre it is a kid friendly restaurant and is located near All Bar One.",The Cricketers is a Chinese restaurant in the city centre near All Bar One. It is moderately priced and kid friendly. It has a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], near[The Bakers]",A pub named Giraffe is near The Bakers.,Giraffe is a pub near The Bakers.,n,n,n,n,n,n,n,
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a pub serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.",Green Man is a Japanese pub located in the riverside area near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[coffee shop], area[riverside]",A coffee shop named Wildwood is located at the riverside.,A coffee shop named Wildwood is located at the riverside.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a cheap family friendly French pub and a restaurant located near Raja Indian Cuisine near riverside,"The Phoenix is a cheap, family friendly restaurant located near Raja Indian Cuisine.",n,n,n,s,n,n,n,falta info de [area]
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]","The Cricketers is an average rated restaurant close to Café Sicilia, not for children",The Cricketers is a restaurant located near Café Sicilia. It has an average customer rating and is not family-friendly.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.,Blue Spice is a coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.,n,n,n,n,n,n,n,
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","In riverside near the Express by Holiday Inn is an average family friendly Indian restaurant called The Punter, that is not only cheap but family friendly.",The Punter is a cheap Indian restaurant located in the riverside area near Express by Holiday Inn. It has an average customer rating and is family friendly.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Wildwood is a restaurant located in riverside area near Raja Indian Cuisine. It serves Italian food and It is not family-friendly.,"The Italian restaurant, The Wrestlers, is located in the riverside area near Raja Indian Cuisine. It is not family - friendly.",n,s,n,n,n,n,n,
"name[Zizzi], eatType[pub], area[riverside]",The Zizzi is a pub along the river.,Zizzi is a pub in the riverside area.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Wrestlers serves Japanese food, and is situated near Raja Indian Cuisine, in the riverside area. It is a kid friendly pub with a price range of £20 - £25.","The Wrestlers serves Japanese food, and is situated near Raja Indian Cuisine, in the riverside area. It is a kid friendly pub with a price range of £20 - £25.",n,n,n,n,n,n,n,
"name[Loch Fyne], eatType[pub], area[riverside]",The Loch Fyne is a pub at the riverside.,The Loch Fyne is a pub at the riverside.,n,n,n,n,n,n,n,
"name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Located at riverside near Raja Indian Cuisine there is a pub called The Mill that serves English food that has a price range of more than £30 and a children friendly place.,The Mill is a pub that serves English food. It is located in the riverside area near Raja Indian Cuisine. It is children friendly and has a price range of more than £30.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","The Giraffe, a child-friendly, English restaurant, is located in riverside area, near Rainbow Vegetarian Café.",Giraffe is a family friendly restaurant located near Rainbow Vegetarian Café.,n,n,n,s,n,n,n,
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a cheap family friendly French pub and a restaurant located near Raja Indian Cuisine near riverside,"The Phoenix is a cheap, family friendly restaurant located near Raja Indian Cuisine in the riverside area.",n,n,n,s,n,n,n,
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]","If you're looking for a great place to eat, try Green Man, a coffee shop near All Bar One with a customer rating of 3 out of 5 stars.",Green Man is a coffee shop near All Bar One with a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","Wildwood is a non family-friendly, Italian restaurant near Raja Indian Cuisine in the city center.",Wildwood is a restaurant located in the city centre near Raja Indian Cuisine. It is not family-friendly and serves Italian food.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a cheap family friendly French pub and a restaurant located near Raja Indian Cuisine near riverside,"The Phoenix is a cheap, family friendly French restaurant in the riverside area near Raja Indian Cuisine.",n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a 5 out of 5 customer rated child friendly restaurant located near a Crowne Plaza Hotel called The Cricketers.,The Cricketers is a family friendly restaurant near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.,n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant that isn't family-friendly, serves Japanese food near to the Express by Holiday Inn in the City centre",The Green Man is a Japanese restaurant located in the city centre near the Express by Holiday Inn. It is not family - friendly.,n,n,n,n,n,s,n,espaço no ao redor do hífen
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]",The Cricketers is a cheap English restaurant near Café Rouge that is family-friendly in the city centre with a 5out of 5 customer rating.,The Cricketers is a family-friendly restaurant located in the city centre near Café Rouge. It serves cheap English food and has a 5 out of 5 customer rating.,n,n,n,n,n,n,n,
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",The Strada is a coffee shop near All Bar One that has a customer rating of 1 out of 5.,Strada is a coffee shop near All Bar One with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]",The Cricketers is a one star coffee shop near the Ranch. It is not family friendly.,The Cricketers is a coffee shop located near Ranch. It is not family-friendly and has a low customer rating.,n,n,n,n,n,s,n,falta de 'the' (the Ranch)??
"name[Strada], eatType[pub], area[city centre]",There is a pub in the city centre called the Strada.,Strada is a pub in the city centre.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","Giraffe, a family-friendly pub in the city centre serving French food is located near Raja Indian Cuisine.",Giraffe is a family-friendly pub located in the city centre near Raja Indian Cuisine. It serves French food and is called Giraffe.,n,n,n,n,n,s,s,repetição de intenção de fala
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix is a French pub near Crowne Plaza Hotel. This coffee ship is family-friendly, has average customer ratings, and average prices.",The Phoenix is a French pub located in the riverside area near the Crowne Plaza Hotel. It has an average customer rating and is not family - friendly.,n,n,n,s,n,n,n,
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly restaurant. They serve Japanese food and are located near Express by Holiday Inn in the city centre.,Green Man is a family-friendly restaurant. They serve Japanese food and are located near Express by Holiday Inn in the city centre.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","Giraffe, a family-friendly restaurant in the city centre serving French food is located near Raja Indian Cuisine.",The Wrestlers is a family - friendly French restaurant located in the city centre near Raja Indian Cuisine.,n,s,n,n,n,s,n,
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Strada pub has a low customer Rating and is located near Express by Holiday Inn.,Strada is a pub near the Rainbow Vegetarian Café with a low customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid-friendly restaurant with a customer rating of 3 out of 5. It is located near Avalon.,The Cricketers is a kid-friendly restaurant with a customer rating of 3 out of 5. It is located near Avalon.,n,n,n,n,n,n,n,
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]","The customer rated 1 out of 5, Strada is near Rainbow Vegetarian Café.",Strada is a coffee shop near Rainbow Vegetarian Café with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix Indian restaurant is moderately priced and has high ratings. This is not a kid friendly establishment but is located near Crowne Plaza Hotel in Riverside.,The Phoenix is a restaurant providing Indian food in the £20-25 price range. It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","The Giraffe, a child-friendly, English restaurant, is located in riverside area, near Rainbow Vegetarian Café.",The Giraffe is a family friendly restaurant located near the Rainbow Vegetarian Café.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant that also serves Indian food priced between £20-25, located near Crowne Plaza Hotel on the riverside. It's customer rating is high, and the establishment is kids friendly.","The Phoenix is a restaurant that also serves Indian food priced between £20-25, located near Crowne Plaza Hotel on the riverside. It's customer rating is high, and the establishment is kids friendly.",n,n,n,n,n,n,n,kidS friendly?
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a pub serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.","Green Man is a pub serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.",n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","Wildwood is a non family-friendly, Italian restaurant near Raja Indian Cuisine in the city center.","Wildwood is a non family-friendly, Italian restaurant near Raja Indian Cuisine in the city center.",n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]",The Cricketers is a one star coffee shop near the Ranch. It is not family friendly.,The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], near[The Bakers]",A pub named Giraffe is near The Bakers.,Giraffe is a pub near The Bakers.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The customer rating is bad at the children friendly coffee shop called The Cricketers near Avalon.,The Cricketers is a coffee shop near the Ranch. It is rated 1 out of 5 by customers and is kid friendly.,n,n,n,n,n,n,n,hífen faltando?
"name[The Vaults], eatType[pub], food[Japanese], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a kid friendly pub serving Japanese food located in the city center near Rainbow Vegetarian Café. Prices range from £20-25 and the customer rating is 3 out of 5.,The Vaults is a kid friendly pub serving Japanese food located in the city center near Rainbow Vegetarian Café. Prices range from £20-25 and the customer rating is 3 out of 5.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Indian], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Wildwood is a pub and Indian food pub located in the riverside area near the Raja Indian Cuisine. It is not family friendly.,Wildwood is a pub that serves Indian food in the riverside area near Raja Indian Cuisine. It is not family friendly.,n,n,n,n,n,n,n,hífen
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",The Cricketers is a family friendly restaurant serving cheap English food in the riverside area situated near Café Rouge,The Cricketers is a family friendly restaurant located near Café Rouge in the riverside area. It serves cheap English food and has an average customer rating.,n,n,n,n,n,n,n,hífen
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a Chinese restaurant. They charge less than 20 pounds. The Cricketers has a low customer rating but is family friendly and located on the riverside near All Bar One.,The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It is family friendly and has a low customer rating. The price range is less than £20.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Children friendly pub Giraffe that serves French food can be found at riverside near Raja Indian Cuisine.,The Giraffe is a French pub in the riverside area near Raja Indian Cuisine. It is kid friendly.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a pub that serves French food. It is located in the center of the city near Crowne Plaza Hotel. It is not family-friendly. The customer rating is low and the price range is less than £20.,The Phoenix is a French pub located in the city centre near the Crowne Plaza Hotel. It has a low customer rating and is not family - friendly.,n,n,n,n,n,s,n,espaços ao redor do hífen
"name[Cocum], eatType[coffee shop], near[The Rice Boat]",Cocum is a coffee shop located a few steps of The Rice Boat.,Cocum is a coffee shop near The Rice Boat.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Children friendly pub Giraffe that serves French food can be found at riverside near Raja Indian Cuisine.,Children friendly pub Giraffe that serves French food can be found at riverside near Raja Indian Cuisine.,n,n,n,n,n,n,n,
"name[The Vaults], eatType[pub], food[Italian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a poorly-rated Italian pub in the city centre near Rainbow Vegetarian Café. It is cheap and family-friendly.,The Vaults is a family-friendly pub located in the city centre near Rainbow Vegetarian Café. It serves Italian food for less than £20 and has a low customer rating.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The kid friendly fast food pub in the riverside area near The Raja Indian Cuisine is called Giraffe,Giraffe is a pub that serves fast food. It is located in the riverside area near Raja Indian Cuisine. It is children friendly.,n,n,n,n,n,n,n,hífen
"name[Cocum], eatType[coffee shop], near[The Sorrento]",Cocum is a coffee shop by The Sorrento.,Cocum is a coffee shop near The Sorrento.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], near[The Rice Boat]",Near The Rice Boat you can visit pub called Giraffe.,Near The Rice Boat you can visit pub called Giraffe.,n,n,n,n,n,n,s,A' pub
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly pub. They serve Japanese food and are located near Express by Holiday Inn in the city centre.,Green Man is a pub that serves Japanese food in the city centre near Express by Holiday Inn. It is family-friendly.,n,n,n,n,n,n,n,
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Good customer score of 3 out of 5 Clowns pub is a recommended place to eat. Located near the All Bar One.,Clowns is a pub near All Bar One with a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[Cocum], eatType[pub], near[The Rice Boat]",Cocum is a pub located a few steps of The Rice Boat.,Cocum is a pub near The Rice Boat.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Wildwood is a restaurant located in riverside area near Raja Indian Cuisine. It serves Italian food and It is not family-friendly.,Wildwood is a restaurant located in the riverside area near Raja Indian Cuisine. It serves Italian food and is not family-friendly.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Italian], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Wildwood is a pub located in riverside area near Raja Indian Cuisine. It serves Italian food and It is not family-friendly.,Wildwood is a pub located in the riverside area near Raja Indian Cuisine. It serves Italian food and is not family-friendly.,n,n,n,n,n,n,n,
