,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
10,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","Lab was the most affected municipality, where 116.33 sq km were deforested.",,,,,,,
11,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE)."," The National Institute for Space Research (IN) The National Institute for Space Research (INPE) - in the month of July 2020, reported that the Amazon deforestation was the most affected by deforestation in the Amazon, in the month of July",,,,,,,
12,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
13,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six sq km in the state of Pará, in the state of Pará, in April two thousand and twenty-one.",,,,,,,
14,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]", the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of,,,,,,,
15,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
16,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
17,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
18,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
19,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which removes all vegetetation of the soil, responsible for 312.44 sq km of deforested area.",,,,,,,
20,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rates (685.97 sq km) in the observation period.,,,,,,,
21,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea (in the state of Amazonas) was the most affected municipality (116.33 sq km).,,,,,,,
22,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
23,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira (51.07 sq km).,,,,,,,
24,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of destruction of the Amazon in the month (1,578.87 sq km) was clear-cut deforestation, which leaves the soil clear of vegetation.",,,,,,,
25,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most deforested state and municipality were respectively Pará (one hundred and seventeen point eight 4 sq km) and Altamira (in the state of Pará), where deforestation amounted to fifty-one point seven eight sq km.",,,,,,,
26,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
27,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was the destruction of the soil, which leaves the soil clear of vegetation.",,,,,,,
28,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
29,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were lost.",,,,,,,
30,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six sq km in the state of Pará, in the state of Pará, in April two thousand and twenty-one.",,,,,,,
31,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that 1,659.45 sq km of forestland were deforested in the Legal Amazon in July two thousand and twenty.",,,,,,,
32,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which removes all vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
33,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
34,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) detected 322.91 sq km of forest clearing in the legal Amazon in April two thousand and thirty-one.,,,,,,,
35,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of forestland were deforested in the Legal Amazon in April two thousand and twenty-one.,,,,,,,
36,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) estimated that 1,659.45 sq km of forest were chopped out of the legal Amazon in July two thousand and twenty.",,,,,,,
37,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","In April two thousand and twenty-one, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).",,,,,,,
38,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
39,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
40,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of destruction of the Amazon in the month (346.44 sq km) was clear-cut deforestation, which leaves the soil clear of vegetation.",,,,,,,
41,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where five hundred and ninety-five point nine 7 sq km of forest were lost.",,,,,,,
42,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The state with the most deforestation in the month was Pará (177.84 sq km), and the most devastated municipality was Altamira / Pará, where deforestation amounted to 51.07 sq km.",,,,,,,
43,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
44,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
45,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main class of deforestation was clear-cutting, which removes all vegetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
46,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 322.91 sq km were chopped out of the legal Amazon in April 2021.",,,,,,,
47,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of forestland were deforested in the Legal Amazon in April 2021.,,,,,,,
48,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out, was the most devastated Nature Protected Area in July, according to data from the National Institute for Space Research (INPE).",,,,,,,
49,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
50,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).", - <VERB <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VER <VERB> <VERB>,,,,,,,
51,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cutting, which clears the soil of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
52,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
53,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
54,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
55,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
56,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
57,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERB,,,,,,,
58,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.", The National Institute for Space Research (IN) reported that deforestation increased by 59.05%,,,,,,,
59,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
60,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
61,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were lost.",,,,,,,
62,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
63,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (685.97 sq km) in the observation period.,,,,,,,
64,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","The most affected municipality was Pará, where six hundred and eighty-five point nine 7 sq km were deforested.",,,,,,,
65,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
66,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation increased by 1,9percent in the legal Amazon in July two thousand and twenty-one.",,,,,,,
67,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, was the most devastated Nature Protected Area in July, where 21.75 sq km were cleared of vegetation.",,,,,,,
68,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The National Institute for Space Research (INPE) in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in the Amazon, in",,,,,,,
69,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
70,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
71,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected Nature Protected Area in the month was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were lost.",,,,,,,
72,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six sq km in the state of Pará, in the state of Pará, in the month of July.",,,,,,,
73,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
